_id	month	neighborhood_municipality	bivalent_booster
160495	2023-06-01	Beechview (Pittsburgh)	12
160496	2023-08-01	Beechview (Pittsburgh)	3
160497	2023-10-01	Beechview (Pittsburgh)	1
160498	2023-02-01	Bell Acres	8
160499	2023-02-01	Bellevue	52
160500	2023-09-01	Bellevue	10
160501	2022-11-01	Beltzhoover (Pittsburgh)	45
160502	2023-01-01	Beltzhoover (Pittsburgh)	19
160503	2023-04-01	Beltzhoover (Pittsburgh)	4
160504	2023-06-01	Beltzhoover (Pittsburgh)	4
160505	2023-08-01	Beltzhoover (Pittsburgh)	1
160506	2023-02-01	Ben Avon	14
160507	2023-09-01	Ben Avon	3
160508	2022-10-01	Ben Avon Heights	32
160509	2022-12-01	Ben Avon Heights	20
160510	2023-03-01	Ben Avon Heights	2
160511	2023-05-01	Ben Avon Heights	2
160512	2022-11-01	Bethel Park	2387
160513	2023-01-01	Bethel Park	540
160514	2023-04-01	Bethel Park	79
160515	2023-06-01	Bethel Park	43
160516	2023-08-01	Bethel Park	36
160517	2023-10-01	Bethel Park	2
160518	2022-10-01	Blawnox	98
160519	2022-12-01	Blawnox	41
160520	2023-03-01	Blawnox	5
160521	2023-05-01	Blawnox	8
160522	2023-07-01	Blawnox	1
160523	2022-09-01	Bloomfield (Pittsburgh)	233
160524	2022-11-01	Bloomfield (Pittsburgh)	512
160525	2023-01-01	Bloomfield (Pittsburgh)	171
160526	2023-04-01	Bloomfield (Pittsburgh)	28
160527	2023-06-01	Bloomfield (Pittsburgh)	20
160528	2023-08-01	Bloomfield (Pittsburgh)	11
160529	2023-10-01	Bloomfield (Pittsburgh)	1
160530	2022-10-01	Bluff (Pittsburgh)	54
160531	2022-12-01	Bluff (Pittsburgh)	22
160532	2023-03-01	Bluff (Pittsburgh)	9
160533	2023-05-01	Bluff (Pittsburgh)	4
160534	2023-07-01	Bluff (Pittsburgh)	2
160535	2022-10-01	Bon Air (Pittsburgh)	52
160536	2022-12-01	Bon Air (Pittsburgh)	24
160537	2023-02-01	Brackenridge	9
160538	2023-02-01	Braddock	6
160539	2023-02-01	Braddock Hills	13
160540	2023-09-01	Braddock Hills	1
160541	2022-09-01	Bradford Woods	34
160542	2022-11-01	Bradford Woods	99
160543	2023-01-01	Bradford Woods	19
160544	2023-04-01	Bradford Woods	3
160545	2023-06-01	Bradford Woods	1
160546	2023-08-01	Bradford Woods	2
160547	2023-10-01	Bradford Woods	1
160548	2023-02-01	Brentwood	45
160549	2023-09-01	Brentwood	8
160550	2022-09-01	Bridgeville	59
160551	2022-11-01	Bridgeville	247
160552	2023-01-01	Bridgeville	55
160553	2023-04-01	Bridgeville	8
160554	2023-06-01	Bridgeville	8
160555	2023-08-01	Bridgeville	5
160556	2023-10-01	Bridgeville	1
160557	2023-02-01	Brighton Heights (Pittsburgh)	56
160558	2023-09-01	Brighton Heights (Pittsburgh)	5
160559	2022-09-01	Brookline (Pittsburgh)	206
160560	2022-10-01	California-Kirkbride (Pittsburgh)	31
160561	2022-12-01	California-Kirkbride (Pittsburgh)	11
160562	2023-03-01	California-Kirkbride (Pittsburgh)	1
160563	2023-05-01	California-Kirkbride (Pittsburgh)	2
160564	2022-10-01	Carnegie	438
160565	2022-12-01	Carnegie	189
160566	2023-03-01	Carnegie	31
160567	2023-05-01	Carnegie	19
160568	2023-07-01	Carnegie	7
160569	2022-10-01	Carrick (Pittsburgh)	421
160570	2022-12-01	Carrick (Pittsburgh)	205
160571	2023-03-01	Carrick (Pittsburgh)	37
160572	2023-05-01	Carrick (Pittsburgh)	26
160573	2023-07-01	Carrick (Pittsburgh)	10
160574	2022-10-01	Castle Shannon	582
160575	2022-12-01	Castle Shannon	228
160576	2023-03-01	Castle Shannon	28
160577	2023-05-01	Castle Shannon	17
160578	2022-11-01	Central Business District (Pittsburgh)	210
160579	2023-01-01	Central Business District (Pittsburgh)	43
160580	2023-04-01	Central Business District (Pittsburgh)	12
160581	2023-06-01	Central Business District (Pittsburgh)	4
160582	2023-08-01	Central Business District (Pittsburgh)	1
160583	2023-10-01	Central Business District (Pittsburgh)	1
160584	2022-09-01	Central Lawrenceville (Pittsburgh)	90
160585	2022-11-01	Central Lawrenceville (Pittsburgh)	308
160586	2023-01-01	Central Lawrenceville (Pittsburgh)	81
160587	2023-04-01	Central Lawrenceville (Pittsburgh)	19
160588	2023-06-01	Central Lawrenceville (Pittsburgh)	13
160589	2023-08-01	Central Lawrenceville (Pittsburgh)	3
160590	2023-10-01	Central Lawrenceville (Pittsburgh)	3
160591	2023-02-01	Central Northside (Pittsburgh)	24
160592	2022-10-01	Central Oakland (Pittsburgh)	115
160593	2022-12-01	Central Oakland (Pittsburgh)	56
160594	2023-03-01	Central Oakland (Pittsburgh)	10
160595	2023-05-01	Central Oakland (Pittsburgh)	7
160596	2023-07-01	Central Oakland (Pittsburgh)	2
160597	2023-02-01	Chalfant	4
160598	2023-03-01	Chateau (Pittsburgh)	1
160599	2023-02-01	Cheswick	13
160600	2023-09-01	Cheswick	2
160601	2022-09-01	Churchill	74
160602	2022-11-01	Churchill	293
160603	2023-01-01	Churchill	68
160604	2023-04-01	Churchill	9
160605	2023-06-01	Churchill	11
160606	2023-08-01	Churchill	6
160607	2023-09-01	Clairton	1
160608	2022-10-01	Collier	692
160609	2022-12-01	Collier	271
160610	2023-03-01	Collier	46
160611	2023-05-01	Collier	17
160612	2023-07-01	Collier	12
160613	2022-10-01	Aleppo	146
160614	2022-12-01	Aleppo	56
160615	2023-03-01	Aleppo	2
160616	2023-05-01	Aleppo	4
160617	2023-07-01	Aleppo	1
160618	2023-02-01	Allegheny Center (Pittsburgh)	11
160619	2023-09-01	Allegheny Center (Pittsburgh)	2
160620	2023-05-01	Allegheny West (Pittsburgh)	3
160621	2023-07-01	Allegheny West (Pittsburgh)	1
160622	2022-10-01	Allentown (Pittsburgh)	82
160623	2022-12-01	Allentown (Pittsburgh)	49
160624	2023-03-01	Allentown (Pittsburgh)	6
160625	2023-05-01	Allentown (Pittsburgh)	20
160626	2023-07-01	Allentown (Pittsburgh)	3
160627	2022-11-01	Arlington Heights (Pittsburgh)	2
